trial,optimizer,learning_rate,dropout_rate,unfreeze_layers,train_accuracy,train_f1_score,val_accuracy,val_f1_score,test_accuracy,test_f1_score
Trial_55_RMSPROP_LR_0.0001_DO_0.3_UF_20,rmsprop,0.0001,0.3,20,0.94768,0.9451111817667348,0.9222160044767768,0.9189178929986968,0.9183445190156599,0.9150290482270432
Trial_58_RMSPROP_LR_0.0001_DO_0.5_UF_10,rmsprop,0.0001,0.5,10,0.94496,0.9438921561436758,0.9222160044767768,0.9207623808323315,0.9138702460850112,0.912298955953772
Trial_16_ADAM_LR_0.0001_DO_0.2_UF_40,adam,0.0001,0.2,40,0.94912,0.9457248297687177,0.9160604364857303,0.9114962016337614,0.9105145413870246,0.9066574878441365
Trial_59_RMSPROP_LR_0.0001_DO_0.5_UF_20,rmsprop,0.0001,0.5,20,0.93712,0.9341756527787519,0.9143816452154448,0.9107296079725102,0.912751677852349,0.9085939931781696
Trial_44_RMSPROP_LR_0.001_DO_0.3_UF_40,rmsprop,0.001,0.3,40,0.93472,0.9347518389144589,0.9127028539451595,0.9130425349561988,0.9116331096196868,0.9116803199071636
Trial_68_RMSPROP_LR_5e-05_DO_0.3_UF_40,rmsprop,5e-05,0.3,40,0.93424,0.9283137569416197,0.9099048684946839,0.9037601181447392,0.9004474272930649,0.8929703383609171
Trial_15_ADAM_LR_0.0001_DO_0.2_UF_20,adam,0.0001,0.2,20,0.94944,0.9474620382459006,0.9099048684946839,0.9053514485405586,0.9217002237136466,0.9183607771174922
Trial_24_ADAM_LR_0.0001_DO_0.5_UF_40,adam,0.0001,0.5,40,0.93856,0.935653380519991,0.9076664801343033,0.9030701361937322,0.9026845637583892,0.8982113213809326
Trial_22_ADAM_LR_0.0001_DO_0.5_UF_10,adam,0.0001,0.5,10,0.92832,0.9258351777806606,0.9037493005036373,0.9014007818704122,0.912751677852349,0.9089775249467615
Trial_36_ADAM_LR_5e-05_DO_0.5_UF_40,adam,5e-05,0.5,40,0.9248,0.92233794229577,0.902070509233352,0.8987293694989497,0.9038031319910514,0.899937147120909
Trial_19_ADAM_LR_0.0001_DO_0.3_UF_20,adam,0.0001,0.3,20,0.9312,0.9251148669798058,0.9003917179630666,0.8914470964440763,0.8982102908277405,0.8899452976437655
